id,movie_name,light,group,gal4,uas,init_frame_count,cop_frame_count,courtship_duration_sec,event,duration_frame
1,240611_CTR_01_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240611-100910_532049.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,882,11733,111.1783291,1,10851
2,240611_CTR_02_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240611-102100_824141.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,3942,36820,336.8647618,1,32878
3,240611_CTR_03_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240611-103222_491462.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,1315,18940,180.5840386,1,17625
4,240611_EXP_04_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240611-105039_354596.log_vid.avi,event,pIP10_GtACR1_event,pIP10,GtACR1,2255,177357,1911.382101,0,175102
5,240611_EXP_05_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240611-112329_120885.log_vid.avi,event,pIP10_GtACR1_event,pIP10,GtACR1,3862,32981,318.3543568,1,29119
6,240612_CTR_01_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240612-102509_333175.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,0,37080,379.9181558,1,37080
7,240612_CTR_03_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240612-104037_639706.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,2314,69871,692.1832773,1,67557
8,240612_CTR_04_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240612-110059_822789.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,1673,18966,177.1826998,1,17293
9,240612_CTR_05_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240612-110739_155309.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,394,29326,296.4344831,1,28932
10,240612_EXP_06_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240612-112712_030571.log_vid.avi,event,pIP10_GtACR1_event,pIP10,GtACR1,1056,220840,2251.885382,0,219784
