,file_name,init_frame,cop_frame,total_frame,wing_extension_frame,rate,group,light_condition
33,240617_CTR_10_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240618-131012_503742.log_vid.avi,1090,15273,14182,2828,0.19940769990128332,pIP10_GFP_later,later
34,240617_CTR_11_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240618-131612_549983.log_vid.avi,1600,135562,133961,63760,0.47595942102552236,pIP10_GFP_later,later
35,240617_CTR_12_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240618-140609_900872.log_vid.avi,1451,23981,22529,5301,0.23529672866083715,pIP10_GtACR1_later,later
36,240617_CTR_14_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240618-144840_467368.log_vid.avi,0,12272,12271,7582,0.6178795534186293,pIP10_GtACR1_later,later
37,240617_CTR_15_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240618-145227_480215.log_vid.avi,353,47367,47013,13018,0.2769021334524493,pIP10_GtACR1_later,later
38,240617_CTR_16_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240618-150258_710487.log_vid.avi,1451,33932,32480,10070,0.3100369458128079,pIP10_GtACR1_later,later
39,240617_EXP_17_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240618-151215_878516.log_vid.avi,671,26760,26088,7475,0.2865302054584483,pIP10_GtACR1_event,event
40,240617_EXP_18_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240618-151815_440074.log_vid.avi,3253,194810,191556,81118,0.4234688550606611,pIP10_GtACR1_event,event
41,240617_EXP_19_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240618-155230_341690.log_vid.avi,1220,73620,72399,12599,0.1740217406317767,pIP10_GtACR1_event,event
42,240617_EXP_20_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240618-160737_362890.log_vid.avi,1080,157396,156315,65439,0.418635447653776,pIP10_GtACR1_event,event
43,240617_EXP_21_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240618-164329_579743.log_vid.avi,806,13469,12662,1367,0.10796082767335334,pIP10_GtACR1_event,event
44,240617_EXP_22_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240618-165824_298045.log_vid.avi,896,17417,16520,3433,0.20780871670702178,pIP10_GtACR1_event,event
45,240619_CTR_01_osec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240619-101119_735683.log_vid.avi,1565,33935,32369,7016,0.21675059470481015,pIP10_GFP_event,event
